Name,Address,Postcode,Telephone,Email,"Opening hours","More information",Organisation,Activities,Location
" Outward Bound Trust: Loch Eil Centre ","Achdalieu, Near Fort William","PH33 7NN","0139 777 2866",enquiries@outwardbound.org.uk,,,"The Outward Bound Trust","Kayaking 
Open canoeing 
Improvised rafting sailing 
Rock climbing 
Ice climbing 
Abseiling 
Gorge scrambling 
Hill walking 
Mountaineering 
Off-road cycling","56.85617142059116,-5.187083775238079"
"Abernethy Ardeonaig ","By Killin","FK21 8SY","01567 820 523",ardeonaig@abernethy.org.uk,,,"Abernethy Trust","Archery
Gorge walking
Improvised rafting
Kayaking
Loch Jump
Open canoeing
Orienteering
Sailing
Rock climbing
Abseiling
Gorge scrambling
Hill walking & mountaineering
Ski touring","56.4892173,-4.168466500000022"
"Abernethy Ardgour","Fort William, Inverness-shire","PH33 7AD","01967 411 222",ardgour@abernethy.org.uk,,,"Abernethy Trust","Canoeing
Kayak
Climbing
Abseiling
Mountain biking
Orienteering
Archery
Ropes course
Hill walking
Zip wire","56.645421229188685,-5.4320526123046875"
"Abernethy Barcaple","Near Castle Douglas","DG7 2AP","01557 820 261",barcaple@abernethy.org.uk,,,"Abernethy Trust","Abseiling
Archery
Blindfold trail
Challenge courses
Crate climbing
Flying fox
Hill and mountain walking
Kayaking
Mountain biking
Open canoeing
Orienteering
Raft building
Rock climbing
Ropes course
Shelter building
Tree climbing
Zip wire","54.891021125933875,-4.063301473541287"
"Abernethy Nethybridge",Inverness-shire,"PH25 3ED","01479 821 279",nethybridge@abernethy.org.uk,,,"Abernethy Trust","Abseiling  
Archery  
Aerial runway  
Assault course  
Challenge activities  
Climbing wall  
Coasteering  
Crate climbing  
Dry slope skiing  
Forest walk
Giant king swing  
Gorge walking    
Kayaking  
Mountain biking  
Opening canoeing  
Orienteering  
Overnight expeditions  
Raft building  
Rock climbing  
Ropes adventure course  
Sailing  
Sea kayaking  
Silver maze
Skiing  
Snowboarding  
Swimming
Team challenges  
Wind surfing  
Zip wire","57.27353794242656,-3.6430696420975437"
"Access Parkour","41 West Bowking Green Street, Edinburgh","EH6 5NX","0798 065 0203",hedge@accessparkour.com,,www.accessparkour.com,,"Parkour coaching indoors and outdoors
","55.9721006,-3.185002299999951"
"ACE Adventure Ltd","Auchnagairn, Relugas, Forres","IV36 2QL","01309 611 729",info@aceadventures.co.uk,,www.aceadventures.co.uk,,"White Water Rafting
Canyoning & Gorge Walking
Disc Golf
Paintball
River Tubing","57.5152174,-3.684395699999982"
"Active Outdoor Pursuits","Craigower Lodge Outdoor Centre, Golf Course Road","PH20 1AT","01540 210 000",,,,,"Mountain Biking
Hillwalking
Rafting
Canoeing
Kayaking
Duckies
Rock Climbing
Abseiling
Team Building
Orienteering
Skiing
Snowboarding
White Water Rafting 
Improvised Rafting 
Mountaineering 
Gorge Scrambling
Canyoning 
Off Road Cycling","57.06397695031534,-4.118542671203613"
Adventurascotland,"Rossendale, Shore Street, Inver Tain","IV20 1SF",7720711453,info@adventurascotland.co.uk,,,,"Hillwalking & Mountaineering
Orienteering
Off-Road Cycling
All activities within the IML remit including Duke of Edinburgh Expedition Groups","53.7045688,-2.3294652"
"Alien Rock 1","8 Pier Place, Newhaven","EH6 4LP","0131 552 7211",aliens@alienrock.co.uk,,,,"Indoor Climbing
Top Roping
Leading
Bouldering","55.98063,-3.196423"
"Alien Rock 2","37 West Bowling Green Street","EH6 5NX","0131 555 3650",aliens@alienrock.co.uk,,,,"Indoor Climbing
Bouldering","55.972249,-3.184229"
"Alltnacriche Residential Activity Centre","Lynwilg, Near Aviemore, Inverness-shire","PH22 1PZ","01479 810237",Alltnacriche@suscotland.org.uk,,,"Scripture Union Scotland","Archery
Bread making over an open fire
Bush craft - knife skills and use of tools
Crate climbing
Orienteering
Ropes course
Aerial runway
Team building challenges
Trail biking with skills course
John Muir Award
Eco-activities
Conservation activities
Fire lighting
Gorge scrambling
Low level walks
Shelter building

The following activities are only approved if provided by another City of Edinburgh Council approved provider:

Excursions to areas in Cairngorm National Park
Canoeing 
Climbing on an indoor climbing wall
Kayaking ","57.1735108,-3.851796899999954"
"Ape Paintball","Addiston Lodge, Ratho, Newbridge","EH28 8NT",,apeinfo@aol.com,,,,Paintball,"55.912513,-3.355379"
"Ardentinny Outdoor Education Centre","Ardentinny, Argyll","PA23 8TR","01369 810271",info@ardentinnycentre.org.uk,,www.ardentinnycentre.org.uk,"The Actual Reality Trust","Rock climbing and abseiling
Coasteering and rock hop
Gorge walking
Hill walking
Mountaineering
Archery
Orienteering
Raft building
Sailing
Canoeing
Kayaking
Off-road cycling
Dragon boating
Team-building activities
Night walk
Low level walks
Seashore, pond and river studies","56.0454764,-4.910533699999974"
"Ardmay House Outdoor Centre","Arrochar, Argyll & Bute","G83 7AH","01301 702 998",info@ardmay.com,,,"Ardmay Ltd","Kayaking
Den building
Open canoeing
Raft building
Rock climbing
Abseiling
Hillwalking
Mountaineering
Caving / weaselling
Orienteering
Problem solving
Forest walks","56.201376,-4.744947"
"Ardroy Outdoor Education Centre","Lochgoilhead, Argyll","PA24 8AE","01301 703 353/703 391",info@outdooreducation.co.uk,,,"AOEC Trust Ltd","Climbing
Abseiling
Kayaking
Canoeing
Hill Walking
Field Studies
Orienteering
Archery
Ropes Courses
Camping
Gorge Walking
Improvised Rafting
Environmental Education","56.15645,-4.912225"
"Arran Outdoor Education Centre","Lamlash, Isle of Arran","KA27 8PL","01770 600 532",info@arranoutdoor.com,,http://www.arranoutdoor.com,"North Ayrshire Council",,"55.54570039999999,-5.100979300000063"
"Auchengillan Outdoor Centre","Blanefield, Glasgow","G63 9BA","01360 770256",centre@auchengillan.com,,www.auchengillan.com,"Clyde Regional Scout Council","School residential courses
Duke of Edinburgh's Award camping base
Climbing/abseiling
High ropes
Fencing
Team building
Paddle sports (canoeing/kayaking, improvised rafting)
Water walkerz
Mountain biking
Target sports (archery, air rifle shooting)
Orienteering","55.993115476362924,-4.37672243068846"
"Bangholm Outdoor Learning Centre","23 Craighall Gardens","EH6 4RJ","0131 551 4368",bangholm@edinburgh.gov.uk,,,"City of Edinburgh Council","Rock climbing - single pitch, multi pitch and lead climbing
Scrambling
Hillwalking in summer and winter
Snow holing
Avalanche awareness
Winter skills
Mountaineering in summer and winter
Snow and ice climbing
Gorge walking
Kayaking - river, lochs and seas
Open canoeing - river and loches
Orienteering
Mountain biking
Off-road night riding skills 
On-road cycle training
Cycle expeditions
Cycle maintenance
Duke of Edinburgh Award training and assessment for bronze, silver and gold
Problem solving
Navigation training
Camping
Mountain boarding
Bushcraft
Coasteering/Elie Cain walk

National Governing Body Awards we can deliver.
Walking Group Leader 
Summer Mountain Leader 
Single Pitch Award 
Climbing Wall Award 
Trail Cycle Leader
Mountain Bike Leader
MBLA Night Riding Module
MBLA Expedition Module 
MBLA Winter Module
Scottish Cycling Cycle Ride Leader
SC Cycle Trainer
SC Cycle Trainer Assistant
SC Cycle Trainer Assistant (Orientation)","55.974533,-3.198563"
"Bedlam Paintball, Splatmaster and Outdoor Laser Tag","Craigton Farm, Craigton House, Winchburgh","EH52 6PY","0844 247 3271",info@bedlam.co.uk,,,,"Paintballing
Laser tag","55.971925050277605,-3.484768867492676"
"Belmont Centre (Scottish Outdoor Education Centres)","Meigle, Perthshire","PH12 8TG","01828 640 275",info@soec.org.uk,,,"Scottish Outdoor Education Centres","Abseiling
Hill walking
Ropes course
Open canoeing
Rock climbing 
Tree climb 
Crate climb 
Flying fox 
Archery 
Pole climb  
Mohawk walk 
Raft building 
Problem solving
Bush craft
Ice breakers
Orienteering
Night walk 
Bonfire 
Environmental games and activities
Transition to secondary programme  
Transition to work programme  
High and low ropes
Burn scramble
Cat walk
Jacob's ladder
Exploration
School activity weeks","56.577495,-3.168617"
"Benmore Centre","By Dunoon","PA23 8QX","01369 706337",benmorecentre@benmorecentre.co.uk,,www.benmorecentre.co.uk,"City of Edinburgh Council","Curriculum for Excellence outcomes through Outdoor Learning
Wider achievement through teamwork and personal development
Raising environmental awareness by working close to and studying nature first hand
Sustainable development by having an ethos which tries to minimise our impact
Residential living to develop independence and social skills

Responding positively to challenge through activities such as:
Gorge Walking
caving
climbing
abseiling
walking
canoeing
kayaking
duckies
rafting
sailing in dinghies and keelboats
mountain biking
problem solving
ropes courses
orienteering
pond study
biology and geography fieldwork
camping
and much more","56.013941,-4.974843"
