Id,Type,No_Spaces,Installed,Ref,Remarks,Owned_by,Serves,Finish,Image,Public,Easting,Northing,Observed,Location
0,"Sheffield extra",16,01/02/2008,01,"8 spaces added 02/10",CEC,,Galvanised,,Y,325525,674007,,"55.9533,-3.19426"
0,"Sheffield extra",4,01/02/2008,02A,,CEC,,Galvanised,,Y,325377,673958,,"55.95284,-3.19661"
0,"Sheffield extra",4,01/02/2008,02B,,CEC,,Galvanised,,Y,325342,673955,,"55.95281,-3.19717"
0,"Sheffield extra",4,01/02/2008,03,,CEC,,Galvanised,,Y,326772,674484,,"55.95778,-3.17443"
0,"Sheffield extra",4,01/02/2008,05A,,CEC,,Galvanised,,Y,325186,673902,,"55.95231,-3.19966"
0,"Sheffield extra",4,01/02/2008,05B,,CEC,,Galvanised,,Y,325147,673892,,"55.95221,-3.20028"
0,"Sheffield extra",4,01/02/2008,07,,CEC,,Galvanised,,Y,324502,672893,,"55.94313,-3.21033"
0,"Sheffield extra",4,01/02/2008,06,,CEC,,Galvanised,,Y,326375,672069,,"55.93602,-3.18013"
0,"Sheffield extra",8,01/02/2008,08,,CEC,,Galvanised,,Y,324971,673788,,"55.95125,-3.20307"
0,"Sheffield extra",4,01/02/2008,10,,CEC,,Galvanised,,Y,324026,672830,,"55.94249,-3.21793"
0,"Sheffield extra",4,01/02/2008,10,,CEC,,Galvanised,,Y,324045,672840,,"55.94259,-3.21763"
0,"Sheffield extra",4,01/02/2008,12A,,CEC,,Galvanised,,Y,324793,673792,,"55.95126,-3.20592"
0,"Sheffield extra",8,01/02/2008,11,,CEC,,Galvanised,,Y,323835,672891,,"55.94301,-3.221"
0,"Sheffield extra",4,01/02/2008,12B,,CEC,,Galvanised,,Y,324776,673735,,"55.95074,-3.20617"
0,"Sheffield extra",4,01/02/2008,13,,CEC,,Galvanised,,Y,324810,674051,,"55.95359,-3.20572"
0,"Sheffield extra",8,01/02/2008,14,,CEC,,Galvanised,,Y,326534,672859,,"55.94314,-3.1778"
0,"Sheffield extra",14,01/02/2008,16B,,CEC,,Galvanised,,Y,324731,673353,,"55.9473,-3.20679"
0,"Sheffield extra",6,01/02/2008,17,,CEC,,Galvanised,,Y,323318,672353,,"55.9381,-3.22913"
0,"Sheffield extra",8,01/02/2008,18,,CEC,,Galvanised,,Y,324494,673583,,"55.94933,-3.21065"
0,"Sheffield extra",2,01/02/2008,19,,CEC,,Galvanised,,Y,324991,672227,,"55.93723,-3.20231"
0,"Sheffield extra",3,01/02/2008,19,,CEC,,Galvanised,,Y,324972,672219,,"55.93715,-3.20261"
0,"Sheffield extra",2,01/02/2008,20,,CEC,,Galvanised,,Y,326313,672701,,"55.94169,-3.18129"
0,"Sheffield extra",4,01/02/2008,21,,CEC,,Galvanised,,Y,325465,672356,,"55.93846,-3.19476"
0,"Sheffield extra",2,18991230,22,,CEC,,Galvanised,,Y,325122,674011,,"55.95328,-3.20071"
0,"Sheffield extra",2,18991230,23,,CEC,,Galvanised,,Y,326986,674447,,"55.95748,-3.17099"
0,"Sheffield extra",4,01/02/2008,25,,CEC,,Galvanised,,Y,324766,673179,,"55.94575,-3.20618"
0,"Sheffield extra",4,01/02/2008,26,,CEC,,Galvanised,,Y,324568,672103,,"55.93605,-3.20905"
0,"Sheffield extra",4,01/02/2008,27,,CEC,,Galvanised,,Y,324637,672174,,"55.9367,-3.20796"
0,"Sheffield extra",8,01/02/2008,28,,CEC,,Galvanised,,Y,325046,673870,,"55.952,-3.20189"
0,"Sheffield extra",4,01/02/2008,29,,CEC,,Galvanised,,Y,324826,673169,,"55.94567,-3.20522"
