Toilet,"Type of facility","Refurbished in 2013",Charge,"Refurbishment status",Facilities,"Opening times",Telephone,Email,Website,Address,Location
"Ainslie Park Leisure Centre","Leisure Centre",,,,"Disabled toilets available","6am - 10pm Mon - Fri
6am - 5pm Saturday
8am - 9pm Sunday","0131 551 2400",info.aplc@edinburghleisure.co.uk,,"92 Pilton Drive, Edinburgh EH5 2HF","55.972014831,-3.2304253895"
"Bath Street Public Toilet","Public Convenience",,,,"Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 8.00pm","0131 529 3030",publicconveniencesandnightcleansing@edinburgh.gov.uk,,,"55.952976,-3.114088"
"Bingham Community Centre","Community Centre",,,,"Male, female.",Tuesday,"0131 669 8778",cld-bingham@ea.edin.sch.uk,,"Bingham Avenue, EH15 3HZ","55.9403279768,-3.12461868252"
"Blackhall Library",Library,,,,"One toilet with disabled access.","Mon, Tue, Wed: 10am-8pm. 
Thu, Fri, Sat: 10am-5pm","0131 529 5595",blackhall.library@edinburgh.gov.uk,,"56 Hillhouse Road,  EH4 5EG","55.9616673126,-3.2611578066"
"Braid Hills Golf Course","Leisure Centre",,,,"Disabled toilets available","7am - 7:45pm Mon - Fri
6:45am - 7:30pm Sat & Sun 
(Open 1 May - 31 Aug)","0131 447 6666",info.braidhills@edinburghleisure.co.uk,,"15 Braid Hills Approach, Edinburgh EH10 6JY","55.9163063539,-3.20571551039"
"Bruntsfield Public Toilet","Public Convenience",,,,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access. Further information on RADAR keys, including how to order one, is available on www.radar-shop.org.uk)","10.00am to 8.00pm","0131 529 3030",publicconveniencesandnightcleansing@edinburgh.gov.uk,,,"55.93718321349266,-3.206462860107422"
"Café Rosa","Business/ Community Toilet Scheme",,,,"male, female, disabled and baby changing facilities.","Mon - Sat: 8:30am - 5pm Sun: 8:30am - 3pm","0131 334 1246",,,"215 St.John's Road, EH12 7UU","55.9428752,-3.286677300000065"
"Capability Scotland 
Head Office","Changing Places",,,,"Toilet is locked on arrival, ask member of staff at reception

Changing Bench: height adjustable, adult sized, free-standing
Hoist: Ceiling track hoist and mobile hoist
Toilet: Centrally placed toilet with room either side for carers","Mon - Fri: 9am - 5pm",,,,"11 Ellersley Road, 
EH12 6HY","55.9465061221,-3.2481749102"
"Carrick Knowe Golf Course","Leisure Centre",,,,"Disabled toilets available","7am - 7:45pm Mon - Fri
6:45am - 7:30pm Sat & Sun 
(Open 1 May - 31 Aug)","0131 337 1096",info.carrickknowe@edinburghleisure.co.uk,,"27 Glendevon Park, Edinburgh, Midlothian EH12 5UZ","55.9382453795,-3.25642615073"
"Castle Terrace Car Park Public Toilet","Public Convenience",,30p,,"Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 8.00pm","0131 529 3030",publicconveniencesandnightcleansing@edinburgh.gov.uk,,,"55.94791422423427,-3.2039737701416016"
"Castlehill Public Toilet","Public Convenience",,30p,,"No disabled access","10.00am to 6.00pm (Summer 8.00pm)","0131 529 3030",publicconveniencesandnightcleansing@edinburgh.gov.uk,,,"55.94862311127835,-3.1966781616210938"
"Central Library",Library,,,,"One male, one female toilet and a further toilet with disabled access and baby changing facilties","Mon, Tue, Wed: 10am-8pm. 
Thu, Fri, Sat: 10am-5pm","0131 242 8000",libraries@edinburgh.gov.uk,,"7-9 George IV Bridge, EH1 1EG","55.9484592615,-3.19251083136"
"City Art Centre","Museums and Galleries",,,,"1 Unisex toilet
1 disabled toilet
2 male
1 female","Mon - Sat: 10am - 5pm
Sun: 12 - 5pm","0131 529 3993",,,"2 Market Street, EH1 1DE","55.951061151,-3.18919575592"
"CJ's Café","Business/ Community Toilet Scheme",,,,"Male, Female, Disabled","Mon - Fri: 9am - 4pm,  Sat:  9am - 3pm Sun: 10am - 3pm",,,,"137 - 139 Dalry Road, Edinburgh, EH11 2EA
","55.9426722,-3.2209927999999763"
"Colinton Library",Library,,,,"Toilet has disabled access and baby changing facilties","Mon & Wed 1-8pm. 
Tues & Fri & Sat 10am - 5pm, Sat: 10am - 2pm","0131 529 5603",colinton.library@edinburgh.gov.uk,,"14 Thorburn Road, Edinburgh EH13 0BQ","55.906748225,-3.25139224407"
"Colinton Public Toilet","Public Convenience",,,,"No disabled access","10.00am to 6.00pm","0131 529 3030",publicconveniencesandnightcleansing@edinburgh.gov.uk,,,"55.908196,-3.254014"
"Craigentinny Community Centre","Community Centre",,,,"male, female, disabled and baby changing facilities","Mon-Fri, 8am-9pm. Sat, 9am-1pm","0131 661 8188",cld-craigentinny@ea.edin.sch.uk,,"9 Loaning Road, EH7 6JE","55.9600734927,-3.14654347344"
"Craigentinny Golf Course","Leisure Centre",,,,"Disabled toilets available","7am - 7:45pm Mon - Fri
6:45am - 7:30pm Sat & Sun 
(Open 1 May - 31 Aug)","0131 554 7501",info.craigentinny@edinburghleisure.co.uk,,"Fillyside Road, EH7 6RG","55.9647749956,-3.13856035469"
"Craiglockhart Leisure and Tennis  Centre","Leisure Centre",,,,"Disabled toilets available","Leisure Centre:
6:30am - 10:30pm Mon - Fri
9am - 6pm Sat
9am - 10pm Sun

Tennis Courts:
9am - 10:30pm Mon - Fri
9am - 6pm Sat
9am - 10pm Sun","0131 443 0101",info.cltc@edinburghleisure.co.uk,,"177 Colinton Road, Edinburgh EH14 1BZ","55.9222395185,-3.23536066334"
"Cramond Kirk","Business/Community Toilet Scheme ",,,,"Disabled toilets available","9am - 5pm Mon - Sat; 8am - 1pm Sun","0131 336 2036",cramond.kirk@blueyonder.co.uk,,"Cramond Kirk Hall, Kirk Cramond, EH4 6HZ","55.9783262,-3.2975500999999667"
"Cramond Public Toilet","Public Convenience",,,,"No disabled access Baby changing","10.00am to 6.00pm","0131 529 3030",publicconveniencesandnightcleansing@edinburgh.gov.uk,,,"55.980018189188144,-3.300274372450076"
"Currie Library",Library,,,,"One male/ one female toilet. Female toilet has disabled access and baby changing facilities","Mon & Wed 1-8pm. 
Tues, Thurs, Fri & Sat 10am - 5pm","0131 529 5609",currie.library@edinburgh.gov.uk,,"210 Lanark Road West, EH14 5NX","55.8961989,-3.3120339"
"Drumbrae Leisure Centre","Leisure Centre/Changing Places",,,,"Changing places toilet located across from reception entrance, open at all times.   Changing Bench: height adjustable, adult sized, free-standing. Hoist: Ceiling track hoist - Arjo Maxi Sky 600. Toilet: corner toilet","7am - 10pm Mon - Fri9am - 7pm Sat9am - 9pm Sun","0131 312 7957",info.dlc@edinburghleisure.co.uk,,"30 Drum Brae Terrace, Edinburgh, Midlothian EH4 7SF","55.956166479,-3.29424578632"
"Drumbrae Library Hub (West Neighbourhood)","Neighbourhood Office",,,,"Two of the four toilets have disabled access and baby changing facilities","Mon & Wed 8.30am-8pm. Tue 10am-8pm. Thurs & Fri 8.30am-5pm. Sat 10am-5pm","0131 529 7440",westteam@edinburgh.gov.uk,,"81 Drum Brae Drive, EH4 7FE","55.956166479,-3.29424578632"
"East Neighbourhood Office and Craigmillar Library","Neighbourhood Office",,,,"Three male toilets, three female toilets, one toilet with disabled access and baby changing facilities.","Mon, Tue, Wed: 10am-8pm. 
Thu, Fri, Sat: 10am-5pm","0131 529 3111",eastteam@edinburgh.gov.uk,,"101 Niddrie Mains Road, EH16 4DS","55.9332477266,-3.13633874146"
"Edinburgh College","Changing Places",,,,"Three toilet facilties - one on first floor, one on ground floor in Sports Block corridor and one on ground floor in corridor adjacent to the Hub area. Access to toilet by RADAR key. Catering corridor has Access Control on doors - contact Reception desk for access.  Changing Bench: height adjustable, adult sized, free-standingHoist: There is a ceiling track and a mobile hoistToilet: The toilet is centrally placed with room on either side for carers","Mon - Fri: 9am - 5pm",,,,"Bankhead Avenue, 
EH11 4DE","55.9276714779,-3.29097485981"
"Edinburgh International
 Climbing Arena: Ratho","Leisure Centre",,,,"Disabled toilets available","8am - 10pm Mon - Fri
9am - 6pm Sat and Sun","0131 333 6333",info.eica@edinburghleisure.co.uk,,"South Platt Hill, Newbridge EH28 8AA","55.9233864059,-3.39787933012"
"Fountainbridge Library",Library,,,,"One male/ one female toilet. Female toilet has disabled access and baby changing facilities","Mon & Wed 1-8pm. 
Tues, Thurs, Fri & Sat 10am - 5pm","0131 529 5616",fountainbridge.library@edinburgh.gov.uk,,"137 Dundee Street, EH11 1BG","55.9400655654,-3.2183491296"
"Gilmerton Community Centre","Community Centre",,,,"male, female, disabled and baby changing facilities.","Mon-Thu, 8am-4pm. Tue, Wed, Thu, 6pm-9pm. Fri, 8am-3pm","0131 664 2335",cld-gilmerton@ea.edin.sch.uk,,"4 Drum Street, EH17 8QG","55.9059433107,-3.1341323787"
"Gilmerton Library",Library,,,,"One toilet has disabled access, with baby changing facilities","Mon & Wed 1-8pm. 
Tues & Fri 10am-5pm. Sat 10am-2pm","0131 529 5628",gilmerton.library@edinburgh.gov.uk,,"13 Newtoft Street, EH17 8RG","55.9053228908,-3.13417825022"
"Glenogle Swim Centre","Leisure Centre",,,,"Disabled toilets available","7am - 10pm Mon - Fri
8am - 4pm Sat & Sun","0131 343 6376",info.gsc@edinburghleisure.co.uk,,"Glenogle Road EH3 5JB","55.9610798895,-3.20951033133"
"Gracemount Leisure Centre","Leisure Centre",,,,"Disabled toilets available","6:30am - 10pm Mon - Fri
9am - 5pm Sat & Sun","0131 658 1940",info.glc@edinburghleisure.co.uk,,"22 Gracemount Drive, Edinburgh, Midlothian EH16 6RN","55.9030858625,-3.15444211218"
"Granton Library",Library,,,,"Both toilets have disabled access and baby changing facilities","Mon & Wed 1-8pm. 
Tues & Fri 10am - 5pm
Sat 10am - 2pm","0131 529 5630",granton.library@edinburgh.gov.uk,,"29 Wardieburn Terrace,  EH5 1DD","55.9765479884,-3.22637075539"
"Hamilton Place Public Toilet","Public Convenience",,,,"Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 6.00pm","0131 529 3030",publicconveniencesandnightcleansing@edinburgh.gov.uk,,,"55.958328,-3.208183"
"Hawes Pier Public Toilet","Public Convenience",,,,"No disabled access","10.00am to 6.00pm (Summer 8.00pm)","0131 529 3030",publicconveniencesandnightcleansing@edinburgh.gov.uk,,,"55.990160437023526,-3.385913372039795"
"Hermitage of Braid Local Nature Reserve","Natural Heritage Service",,,,"Visitor Centre: 
1 male
1 female

Stables:
1 female/ disabled
1 male","Monday to Friday: 9am - 4pm, Sunday and Public Holidays 12 noon - 4pm.","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,,"EH10 6JF","55.9196070685,-3.20264968852"
